review_id,user_id,business_id,stars,useful,funny,cool,text,date,long_review_word_count,long_review_char_count,repetition_score
FGrzY5FqywfX9NJj3DIbWQ,ZXCsss6TpajQeuRorp_WjA,aSgAsCVVOhBVk0ci4OQQxA,2,0,0,0,"I was told to bring my dog in at 10:30, so I did. 4 hours later I get a call from "" Jackie"" sternly saying to me ""that my dog would take all day because his tail was matted"".   When I made the appointment, I mentioned to Jackie that my dog was neutered about 3-4 weeks before his appointment would be and it had been a while since I was able to brush him because of his tender area and so I wanted to have a professional do it. Good lord I took $200 in cash to pay for my dog and my other little dog that had to have some work done too. The total was $120 and she said I can give you change if you want me too? I'm all for tipping but to be ""given a talkin to about why I brought my dog in to begin with and to beg for a tip left little to be desired to go back. Plus there was some guy in there without a mask and no one did anything about it. Total time at that place for my dogs was 6 1/2 hrs. Wish I could give more stars as I heard this was a good place. My Dogs look no different than if I'd done them myself. And I know how hard that line of work is because I typically groom my dogs myself. A low maintenance dog is best for here. I mean no offense as this was my experience. There was one nice groomer there that gave me a little smile as I feel she knew what I was thinking. Kudos to her!",2021-01-17 06:42:06,303,1298,
-vIBy5HAGIDHzbn-I00KWA,YBX6DQznr_X3TsPwE_VmbA,0pL-eq0ufX5jMDgVAvoHHw,1,0,0,0,"If I could give this place a 0 rating, I would. This is my first time doing a yelp review ever, that has to mean something. So on January 18th I called and made a reservation for January 23rd to go to this place for my sisters birthday dinner. I made the reservation for 6:30pm and repeated it many times and made sure the woman on the phone heard me correctly. So the 23rd arrives and my family and I go in at our reservation time. I go and tell the lady that we're here and our reservation is for 6:30pm. She looks at the sheets she has printed of all the reservations and tells me she doesn't see my name. I ask her to please double check because I indeed made the reservation on the 18th. I even went ahead and pulled up my call log of the date and time I called and showed her that it was THEIR restaurant because she suggests maybe that I had made a reservation at the wrong restaurant. She saw that it was her restaurant. She completely ignores me and goes to sit another family. She comes back to me and tells ""yeah i'm sorry I don't see your name"". Imagine making a reservation 5 days early and not being able to have a birthday dinner for your sister because whoever I talked to to make the reservation I guess didn't write my name down or put me in anywhere. The rage that filled my body was unreal. I asked her if she's really not going to let us dine here because one of THEIR employees messed up. She just kept repeating herself and saying that we can't dine there. I ask to speak to the manager and she tells me she is the manager. As a manager I really believe she could've did SOMETHING to accommodate us in ANY way. She simply didn't care and kept saying we couldn't eat there. This was the most horrible experience I've ever had at a restaurant. I walked out in anger and will never be going there ever. If you guys wanna go there make sure you go in person to make a reservation and physically see them put your name down lmao.",2021-01-24 00:33:26,417,1947,
1FiXaq9Dusa3rw2KWJyEPQ,6jjHo9Lilv3kTy87pm2ycw,CGijrmxQjVj1sLJfTFtm4Q,4,49,21,45,"Open seven days weekly (10 AM to 7 PM Sundays & 10 AM to 8 PM all other days), currently there are 99 stores & one police substation. Some of those stores are restaurants, bars, & businesses that sell food items; they include the following (in alphabetical order):

900 Degrees Wood Fired Pizza, Barnes & Noble Cafe, The Brass Tap, 365 Cafe Italiano (Gelato), Cantina Laredo, Charleys Philly Steaks, Chuck Lager, Fresh Healthy Cafe, Grillsmith, Irish 31 Pub House & Eatery, le macaron French Pastries, menchie's frozen yogurt, Moe's Southwest Grill, Noble Crust, NOTHINGbundtCAKES, Panera Bread, Pholicious, Pinchers, The Pretzel Twister, Red Robin, Rocket Fizz (candy), Snowie, Teriyaki Madness, Vom Fass, & Yamato. 

I thankfully heard NO MUZAK today while roaming the streets of Wiregrass. There are; however, 3 public restrooms, 2 ATMs, & 2 Taxi areas. There's also a stand-alone Guest Services building where you can walk in to inquire; currently, just two visitors may enter @ a time. (I couldn't locate a particular store; the friendly staffer searched the computer, only to learn that the store permanently closed during the Covid shutdown.)

The first & third Saturday of each month (from 10 AM till 2 PM) is the outdoor market. Often close to 50 vendors set up tents to peddle their wares--  arts, crafts, photography, fruits & veggies, meats & cheese, fish, egg, candles, clothing, jewelry, lobster stew & rolls, fresh flowers, dog treats, plants, fresh juices, crawfish pies, & many other homemade creations. Cash is appreciated, but most vendors accept debit & credit. If you don't bring your own bags, plastic bags will be provided w/ your purchase. On market days, there's usually outdoor entertainment-- different solo acts (i.e. singers/guitarists) will preform on stage. 

In December, the mall is beautifully decorated & lit w/ many thousands of Christmas lights. The displays attract large crowds. And throughout the year, Wiregrass offers free music on Friday & Saturday nights. If you visit the Wiregrass website, you'll find a very convenient monthly calendar of events. (The weekend music is not offered all twelve months, so do check the calendar before heading over.)

One of my favorite aspects of this mall (other than the outdoor market) is the LARGE Barnes & Noble bookstore. It's a very nice two-level store. If you are looking for a particular book & it's not here, it can be ordered & received quickly. Be sure to check out the website to learn of the dates & times for Toddler Storytime (every Tuesday, I believe) & all the Virtual Talks w/ authors.  

Wiregrass offers lots of parking that includes parallel parking in front of the stores. (Those w/ Handicapped placards may park for free.) On weekend nights, the perimeter of the mall gets crowded w/ automobile traffic, especially near Noble Crust, Chuck Lager, & Pinchers, so avoid that area if possible. 

This mall is definitely a nice addition to Wesley Chapel. With at least four entryways into the mall, it's an easy outdoor mall to visit-- & close to I-75. I recommend checking it out if you're in the area.",2021-01-03 02:26:31,644,3101,
5uUyUsZMgpAhGIFMlqsv_g,VRHIXvswHP4cXrPnFNAEWw,F6hASqb_Z5ASXz0-pZFlfA,1,0,0,0,"Very little to share about the quality of the product, as I never got my order. Ordered the day before for an important event, well in advance. Waited all day for delivery. Nothing came. Received an email telling me that a ""delivery attempt failed,"" even though no one ever attempted to come to my door, call, or text, and I was never given a time when the arrangement would arrive. Just ""delivery failed."" I guess I was supposed to be waiting outside all day for when the delivery came by? Then they could toss it out the car window at me? I have no idea.

In the email, I was told they would return. Well ... they didn't. Hours and hours passed. I decided to contact the store. Upon contacting the store, I was simply given a menu of pre-recorded options--all of which basically amounted to ""go to the website."" (There was no way to reach an actual person.) Went to the website, filled out a form, and never got an answer. Filled out another form, finally got an answer. Was told that a delivery attempt had failed (again, without a knock on the door or a phone call, yes, the delivery is going to fail--I cannot stand outside all day when you don't give me a time to do so). I was told another delivery attempt would be made, but it wasn't. 

In the meantime, I decided to drive to the store to pick up my arrangement. Although the hours on the website, on the phone recording, and ON THE DOOR ITSELF are listed as open until 7 p.m, this place was closed before 6. (I'm not sure anybody even works there at all.) 

I couldn't even physically go to the store to get the thing I was supposed to have delivered. It's nowhere. It has not come. And I am out $50.

I've used Edible Arrangements in other places, so I don't think it's the larger company but the Roxborough location. I was able to get a delivery from the Aramingo location, and they had no problem knocking on my door or calling me on the phone and telling me when they were going to deliver. You know, like with a NORMAL DELIVERY of a pre-purchased product. Nor did I have a problem calling them on the phone and reaching an actual person. 

An all-around wasteful and disappointing experience that will probably result in having to dispute a credit card charge. Lovely.",2021-01-26 22:19:52,495,2233,
TUjgjU3KvjIv3lHbcQfBfA,rGg_0IJs41JjSz7-bnovvQ,D5V0Fawd6ODVgqCY8xngsw,1,2,0,1,"This was the greatest disappointment of Loews Hotel I have experienced. From inadequate customer service, cleanliness to overall experience, just a disaster.
- I booked for 3 nights with an American Express, but there were no amenities the hotel could offer. Never book with them directly, book with a Travel agent or online reseller as you will get more  value. 
- Front desk utterly rude. I am used to Loews Boston being the best you can find, but here in Philadelphia seems unlikely they received the same training. They were neither knowledgeable nor helpful. 
- You can usually get information of how to contact them via text, this time none of that was given. When I tried to contact them using the text message service number I found on their website, the reply came 3 hours later. Just horrible.
- Late check out was not possible in any shape or form. Usually during covid times you get up to 3 or 4 pm, or you get the option to pay an extension. I explained to them my experience in other hotels of this same brand, and my willingness to pay but still their blank expression told me they could care less.
- The hotel was dirty. i understand it was understaff due to the times we are living, but still, it makes no excuse if you still charge the same prices for your stay. There was literally bags of trash on the halls. 
- Security was weak. At least twice there were homeless with visibly mental health issues screaming on the lobby.
- Bar service was so bad. I was looking forward to relax at the bar, understanding it had limited hours, but the bartender was on his phone and the service took ages. The chacuterie I bought (because to drink you have to buy food) it was stale and just so poorly presented.
It was depressing, to be honest. It was a celebratory weekend in a city that I was visiting for the first time and this was just the worst. 
A poor representation of what the Loews brand inspires in many other parts of the country and the world.",2021-01-19 14:45:53,401,1963,
W6cwa-npQwAdnt_p8eosxA,HEzRkVagI89mpn9h2zvTPw,PY9GRfzr4nTZeINf346QOw,1,1,0,0,"BEWARE FALSE ADVERTISEMENT OF ROOM AMENITIES ON OFFICIAL SITE!  Just checked in to Peppermill and highly disappointed.  I normally use Booking or expedia to reserve rooms, but being that we are in a pandemic, and this is my family's first time out I used Peppermill's official site.  After reading countless reviews, we decided to go with the Tuscany Tower Suite rooms.  My 7 year old was exteemely excited to have a jacuzzi bathtub to use during our stay, as we did not want to use the pool.  Again, this was our family's first time out since the pandemic, so we based our expectations of what we were paying for and hoping to receive on what the official Peppermill website advertised for our room specifically.  Spoiler alert: I've had better experiences with third party websites. 

 Pro: The room came with the 2 King beds we wanted. Surprised to find a small patio.

Cons: 
1. We checked in on our phone, got the text that our room was ready, and to check in at a kiosk. We go in and KIOSK weren't working, we still had to check in at the front desk. :( Female (Jenna, Jen...not sure) was not welcoming, she sounded like she didn't want to assist us with checking into our room. 
2. Bathroom did not match the description on the site at all. NO jacuzzi bathtub, NO  enclosed shower or private toilet area, and NO his/her sinks. 
  Imagine our shock when we saw this!!! 
3. POOR customer service!!! After seeing that we were missing many of the amenities we were looking forward to, I immediately called front desk. The male who took the call did not give his name, but told us there were NO rooms in the whole hotel with the jacuzzi bathtub available. Then he says they do have a smoking room available. 
4.  I turn it down! I tell him that it is false advertisement, because on the site under the room we booked, we saw the floor plan and the features listed, and those were the main reasons for booking at Peppermill and not at Atlantis or GSR, are not in the room they gave us. He says there is nothing he can do about that. 
  We spent over $200 for a ""Suite"" but given a regular room and told there is nothing they can do about it. NEVER RETURNING!",2021-01-31 03:54:44,464,2159,
wke3Jt9rpgdSKniul7KHew,NCjQXZnTwxsLYZR-12uUzw,AlxnbBd2JNkozNvI0OvRLQ,4,2,0,1,"I saw  an ad for this place on facebook or somewhere and it looked good. The truffle pasta was what lured me in...love truffle pasta. I made a reservation for a Sunday night. We had to eat outside with a tent like covering since Philly was still under dining restrictions. I'm glad I wore my long underwear. They had some heaters attached to the roof  above but you don't really feel it unless you're sitting directly under it. I thought they would have heaters right next to the table. 

My husband had to get the meatballs as the appetizer. They were pretty good, maybe could have used a little more garlic, but decent. I liked that they put a big scoop of ricotta cheese on the side. They gave us bread but no butter. I asked for some but they didn't have any but gave us olive oil. 

We split 3 pastas. 

MURPHS PASTA-  very tasty and different. I was worried it was going to be too spicy but it was very well balanced. I loved the bacon in it gave it great flavor. There was a huge amount of cheese on it, it was a spicy cacioricotta. 

PEAR and CHEESE FIOCCHI- this was probably my favorite pasta. It was sweet and creamy and had honey on it. It tasted kind of like pumpkin or sweet potato pasta that I had before. This is probably best as an appetizer though or splitting it with someone because after awhile it's like a sweetness overload. 

TRUFFLE PASTA- They were pretty generous with the amount of black truffles, I was surprised. It tasted like they probably put some truffle oil in the sauce as well as it had a very strong truffle taste which I liked. However the cream sauce was a bit bland and this pasta was just ok. The sauce definitely could have used more salt or flavor but I still enjoyed it. 

Service wasn't too great though. They don't really come to check on you, just bring your food and the basics. We were both gonna get another drink but our waiter never came back around to ask so we didn't. 

Overall this is a great place to get some homemade pasta in Philly at a great price and big portions. Probably the best value in Philly. Yes there are better Italian restaurants in Philly- but this is probably the best pasta I have had at this price point. Would like to come back if they have some new seasonal pastas later.",2021-01-20 19:08:59,470,2251,
cSpM5OqfJgLwOZTmpUOnmQ,dYRiRhPCwVRtHZT8UutM7g,YUDcLokFMZOtyWAmVY3jwA,3,0,0,0,"Meh. Staff is very disorganized. Got seated upstairs where some oriental girl told me we can't order for 15 minutes after we sit down. Huh? That's a rule is it? Not a good impression right off the bat. Instead of ""hi how are you welcome in"" - we get you can't order for 15 min it's a rule. Sigh... 

The bar upstairs wasn't open, they used it to pile up dirty glasses. We had an appetizer called Oyster Bar Trash wasn't the best. Very basic nothing special. 

Wedge salad - eh... 

Ordered happy hour martinis. Half the price = half the drink (pic included). Wasn't happy about that. 
Not sure if the girl spilled them going up the stairs or the bartender made them missing half the drink - but either way - the waitress should not give someone HALF a drink & think that's ok? Still a $6 drink at half price 

Red fish my husband had was ok (except for the very very very mushy green beans that came with it) 

I had crab legs - those were seasoned well and ok

Waitress was nice. Can't say that about the guy that greeted us or the girl who said we have to wait to order. 

Probably wouldn't come back, nothing about it was special for $129 + tip.

Very unorganized and overall not too friendly or welcoming. Probably would label the TGI Friday's of seafood. Can spend money elsewhere for better food. Wish I would have read the reviews first. Staff needs more training on how to be personable to people spending money on their establishment. 

Will not ever visit one of these again for meh food.",2021-01-04 13:18:43,325,1498,
KzAK0nomH5vR3aCZagkqgA,6jjHo9Lilv3kTy87pm2ycw,H1lSVZSPz-Mz0P3g7o-SYQ,4,50,17,44,"4.5 STARS! This relatively new sushi bar & Japanese grill is a WONDERFUL addition to the Lutz area. Its interior is clean, fresh, & modern. The reclaimed natural redwood from the San Francisco Bay area is GORGEOUS! 

There's a beverage bar (yes, alcohol), a sushi bar, tables & chairs separated by plexiglass, three larger more secluded padded booths, & many tables taking center stage on the dining room floor. Service was fast & friendly; Adeline C. was especially good. The thick wooden menus are sanitized after each use & sealed. 

According to the menu, ""Zukka-San represents an elevated experience & expanded menu from the first Zukku-San started from a humble 350 sq foot stall inside Tampa's Amateur Works Food Hall. The towering wood patterns of ""Koi"" fish swimming against a sea of waves were meticulously designed & carved by a local artist."" L00K UP to see all the Koi! Truly an aestetically-pleasing restaurant!

Fourteen (14) ""Signature Cocktails,"" nine (9) ""Sake,"" eight (8) ""White Wines,"" one (1) ""Rose,"" seven (7) ""Red Wines,"" three (3) ""Bubbly,"" three (3) ""Spiked Seltzers"" ($5.50), ""Draft Beer"" ($6); and Domestic ($4.50) & Imported ($5.50) ""Bottles"" are available. Non-alcoholic Boba Milk Teas are also served. 

The menu offers 16 ""Starters,"" including Crab Rangoon, three types of Yakitori, Ahi Tuna Tartar, Dumplings, & Baked Mussels. (Our Steak Yakitori was EXCELLENT. Our Shrimp Yakitori was EVEN BETTER-- see pic!)

There are 17 ""Masterpiece Sushi Rolls"" available. Our Sunset Roll @ $12.95 w/ real crab, Ahi tuna, cucumber, avocado, & cilantro (etc.) was EXCELLENT. The waitress stated that the Dancing Dragon @ $13.95 is a patron favorite. It includes Spicy Ahu tuna, tempura shrimp, tuna, scallions, spicy mayo, & eel sauce, etc. (We returned for it two days later; it was VERY GOOD!)

Seventeen (17) ""Nigiri & Sashimi"" offerings range from $4.50 to $6.95. Nigiri consists of two pieces-- Sashimi three. Twelve (12) ""Classic Rolls"" & ten (10) ""Hand Rolls"" are available; they range in price from $5.95 to $7.95.

If it's Tempura you want, fifteen (15) varities are offered. Five salads & two soups are prepared here. (Our Miso was very good, although a tad more salty than @ many other restaurants-- see pic.)

Eight (8) ""From the Wok & Grill"" menu items are accompanied by Miso Soup & a Ginger Salad. Prepared entrees include: Fried Rice, Hibachi Noodles, Udon Noodles, Soy Butter Glazed Baked Salmon, Grilled Short Ribs, Chicken Teriyaki, Miso Garlic Scallops, & Miso Garlic Tofu. 

Kids can enjoy a choice of five meals, including Fried Panko Chicken @ $9.95. 

The six desserts sound DELICIOUS: Triple Chocolate Cake, Triple Layer Carrot Cake, Matcha Green Tea Cheesecake, Fried New York Style Cheesecake, Vanilla Bean Shortbread Ice Cream, & Carrot Cake Fried Ice Cream.

Am looking forward to returning soon-- repeatedly returning-- lol! Definitely a very good sushi & grill restaurant. Lots of parking available, as well as Curbside (see pic), Delivery, & Take Out.",2021-01-01 23:31:11,672,3002,
bU4YfUUhoYKR9hfmWz_5fQ,kaqLDuTyx-ULaoNpN_DS3w,CND-z-P0kJczFqlCb-oHRw,2,0,0,0,"Due to covid we are in wi, mom is in the rehab center.  THEY return about 1 in 50 phone calls. I have spoked to a medical Np once.  I was called by infection control RN a week after my mom contracted covid in there. (She arrived on 1/8, I was called by her RN on the 21st to let me know. Then infection  control RN called a week later.) They lost her suitcase,  lost her clothes. I can't wait to get her out. I called the Ex Dir 6 times leaving messages to call me and why. The only response was when I found the parent company VP phone number and call there.  That day, I had calls from Social worker, Therapy,  and an NP. Mom has had 3 blood draws I know of, but they never call with results. She has a cell phone and I am constantly calling trying to get someone to charge it. (She has arthritis). All in all, I will never have her go here again. There are a couple RNs I have talked to that are great,  and the receptionist on at the main number and I are on first name basis. Peggy has been wonderful. Mom is being discharged on Tues. I was told last Wed. I have called social worker every day since, leaving messages that I need to talk to Therapy, Dr. , wound care, about things and no call back. I will be flying down tomorrow and will be on a plane most of the day. Their COMMUNICATION s*cks. I just hope the care didn't. I will see on tues.",2021-01-31 16:14:43,315,1350,
